Search,Search Count,Last Search Date
"""C:\Users\crbk01\OneDrive - Region Gotland\documents\"" parents:5",1,132754852141498766
"""C:\Users\crbk01\OneDrive - Region Gotland\""",1,132754849912870812
"c:\ one",1,132754849361964400
"size:>tiny c:\users\crbk01\ !<dateaccessed:""past1years"">",1,132754805745876753
"size:>tiny c:\users\crbk01\ !<dateaccessed:past 1 years>",1,132754805243090374
"size:>tiny c:\users\crbk01\ dateaccessed:!past 1 years",1,132754805082487850
"size:>tiny c:\users\crbk01\ dateaccessed:!pastyear",1,132754804720002828
"ext:one size:>tiny c:\",1,132754798318416411
"ext:one size:>tiny",1,132754797998491863
"wildcards:E:\Pictures\unsorted\  !<child:*.jpeg|child:*.png|child:*.bmp|child:*.jpg|child:*.gif> childfoldercount:0",1,132594742808093337
"wildcards:E:\Pictures\unsorted\  !<child:*.jpeg|child:*.png|child:*.bmp|child:*.jpg|child:*.gif>",1,132594742527396164
"E:\Pictures\unsorted\ ",1,132594740417568726
"parent:E:\Pictures\unsorted\ folder: empty:",1,132594701154395497
"parent:E:\Pictures\unsorted\ !<childfilecount:1 childfoldercount:0>",1,132594392665201927
"E:\Pictures\unsorted\ childfilecount:1 childfoldercount:0",1,132594379363689345
"!\$ ext:ahk datemodified:20210305",1,132594304198936316
"!\$ ext:ahk ",1,132594289187547254
"!\$ ext:nsh",1,132594287255400236
"Ahk !\$ !\tomahawk !tomahk",1,132594264351232570
"Ahk !\$ !tomahawk",1,132594263939833025
"Ahk !\$",1,132594263848804465
"Ahk \$",1,132594263708426969
"Ahk",1,132594263383729870
"codec folder:",1,132594244086675431
"E:\Pictures\ x",1,132593820156099440
"ext:sqlite !\$ !\todatabase\",1,132593667250643781
"ext:sqlite !\$",1,132593666749664280
"ext:sqlite",1,132593666534530534
"E:\ToDatabase\Sqlite\ !folder: ext:sqlite ",1,132593651454847816
"E:\ToDatabase\Sqlite !folder: ext:sqlite ",1,132593639344349597
"E:\ToDatabase\Sqlite !folder: !ext:json",1,132593638669119259
"E:\ToDatabase\Sqlite",1,132593638290866033
"code\ am.pak",1,132593621077945706
"am.pak",1,132593619262832413
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:trimm !""\42108198-5f85-4c1f-9d20-a7f2da8e1ec1\"" !""\2f5cf3b0-9e3b-4bc7-8be5-25fdf4dd5e90\""",1,132593563706145504
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:trimm !""\42108198-5f85-4c1f-9d20-a7f2da8e1ec1\""",1,132593561653503378
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:trim !""\42108198-5f85-4c1f-9d20-a7f2da8e1ec1\""",1,132593561549122175
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:trim",1,132593557641158276
"< ""E:\Programming(projects)\Sql\consoles\db"" | config\consoles\db >  !folder: content:insert content:notSuit",1,132593549574041538
